"   ","ENTHICK","ENWIDTH","ENLENGTH","GRADE","PRODTIME","PRODUCTID","REDUCTRATE","TLELONG","TLMESH1","TLMESH2","TLMESH3","TLSPEED","TLTENSION","PLSPEED","AT1TEMP","AT1HCLCONC","AT1FECLCONC","AT2TEMP","AT2HCLCONC","AT2FECLCONC","AT3TEMP","AT3HCLCONC","AT3FECLCONC","RT4PH","RT4TEMP","RT1PH","EXWIDTH","EXTHICK","F1FORCE","F1ENTENS","F1EXTENS","F1SPEED","F1REDRATE","F1EMULPRESS","F1BLOWPRESS","F2FORCE","F2ENTENS","F2EXTENS","F2SPEED","F2REDRATE","F2EMULPRESS","F2BLOWPRESS","F3FORCE","F3ENTENS","F3EXTENS","F3SPEED","F3REDRATE","F3EMULPRESS","F3BLOWPRESS","F4FORCE","F4ENTENS","F4EXTENS","F4SPEED","F4REDRATE","F4EMULPRESS","F4BLOWPRESS","F5FORCE","F5ENTENS","F5EXTENS","F5SPEED","F5REDRATE","F5EMULPRESS","F5BLOWPRESS","CRMCOILTEMP","INSDATE","HCOILID","EXLENGTH","BISGGRADE","AIMEDWIDTH","AIMEDTHICKNESS","MAXAIMEDWIDTH","MINAIMEDWIDTH","MAXAIMEDTHICKNESS","MINAIMEDTHICKNESS","F2DSFORCES","F1FSLIP","F2FSLIP","F3FSLIP","F4FSLIP","F5FSLIP","F1EXTHICK","F2EXTHICK","F3EXTHICK","F4EXTHICK","F5EXTHICK","F1DSFORCES","F1OSFORCES","F2OSFORCES","F3DSFORCES","F3OSFORCES","F4DSFORCES","F4OSFORCES","F5DSFORCES","F5OSFORCES","F1DSGAP","F1OSGAP","F2DSGAP","F2OSGAP","F3DSGAP","F3OSGAP","F4DSGAP","F4OSGAP","F5DSGAP","F5OSGAP","F1GLEVEL","F2GLEVEL","F3GLEVEL","F4GLEVEL","F5GLEVEL","F1WRBEND","F2WRBEND","F3WRBEND","F4WRBEND","F1IMRBEND","F2IMRBEND","F3IMRBEND","F4IMRBEND","F5IMRBEND","STRIMOSGAP","STRIMDSGAP","STRIMOSLAP","STRIMDSLAP","F5WRBEND","F5RTYPE","F1ENTHICK","F6TENDIFF","F1TENDIFF","F2TENDIFF","F3TENDIFF","F4TENDIFF","F5TENDIFF"
"11","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1524.000","278.000","891.000","90.000","16.610","0.000","0.000","1419.000","891.000","764.000","111.000","18.710","0.000","0.000","1285.000","764.000","716.000","133.000","15.850","0.000","0.000","1095.000","716.000","745.000","154.000","14.490","0.000","0.000","805.000","745.000","159.000","157.000","1.630","0.000","0.000","","2024/3/26 10:04:41","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","714.000","470.000","-750.000","-720.000","-2270.000","0.000","4194.000","3401.000","2907.000","2527.000","2511.000","770.000","754.000","705.000","635.500","649.500","555.000","540.000","398.000","407.000","980.500","818.500","737.000","248.000","413.500","387.500","250.500","404.500","703.000","607.000","-0.162","-0.489","-0.026","0.154","-0.096","250.000","255.000","248.000","237.000","249.000","259.000","249.000","240.000","84.000","75.000","75.000","-21.000","-21.000","135.000","D ","4992.000","0","-9","6","-4","-6","3"
"12","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1470.000","282.000","793.000","137.000","16.610","0.000","0.000","1481.000","793.000","710.000","168.000","18.710","0.000","0.000","1353.000","710.000","662.000","201.000","15.850","0.000","0.000","1162.000","662.000","701.000","233.000","14.490","0.000","0.000","805.000","701.000","159.000","236.000","1.630","0.000","0.000","","2024/3/26 10:04:02","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","741.000","780.000","-1740.000","-890.000","-1240.000","0.000","4206.000","3430.000","2850.000","2496.000","2459.000","742.000","728.000","740.000","672.500","680.500","592.000","570.000","399.000","406.000","1059.000","878.000","704.500","193.500","334.500","339.500","176.000","330.000","686.000","583.000","-0.181","-0.511","0.005","0.154","-0.103","249.000","259.000","249.000","238.000","250.000","260.000","250.000","240.000","84.000","75.000","75.000","-21.000","-21.000","119.000","D ","5052.000","0","2","5","4","2","1"
"13","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1459.000","286.000","801.000","136.000","16.610","0.000","0.000","1469.000","801.000","711.000","168.000","18.710","0.000","0.000","1381.000","711.000","661.000","201.000","15.850","0.000","0.000","1167.000","661.000","702.000","233.000","14.490","0.000","0.000","806.000","702.000","156.000","236.000","1.630","0.000","0.000","","2024/3/26 10:04:03","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","731.000","610.000","-1740.000","-930.000","-1240.000","0.000","4212.000","3410.000","2846.000","2492.000","2455.000","735.500","723.500","738.000","685.500","695.500","592.500","574.500","399.000","407.000","1072.000","889.000","704.500","193.500","330.000","335.000","176.500","330.500","686.000","584.000","-0.183","-0.511","0.005","0.154","-0.102","249.000","259.000","249.000","238.000","250.000","259.000","250.000","239.000","84.000","75.000","75.000","-21.000","-21.000","119.000","D ","5065.000","0","2","0","4","1","1"
"14","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1472.000","283.000","800.000","136.000","16.610","0.000","0.000","1476.000","800.000","711.000","168.000","18.710","0.000","0.000","1364.000","711.000","668.000","201.000","15.850","0.000","0.000","1162.000","668.000","711.000","233.000","14.490","0.000","0.000","800.000","711.000","164.000","236.000","1.630","0.000","0.000","","2024/3/26 10:04:03","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","736.000","560.000","-1770.000","-860.000","-1210.000","0.000","4206.000","3405.000","2848.000","2489.000","2457.000","742.000","730.000","740.000","676.000","688.000","595.000","567.000","396.500","403.500","1054.500","870.500","703.000","193.000","335.000","339.000","174.000","328.000","687.000","583.000","-0.184","-0.510","0.004","0.154","-0.104","249.000","259.000","248.000","238.000","250.000","260.000","249.000","240.000","84.000","75.000","75.000","-21.000","-21.000","119.000","D ","5041.000","0","1","-2","0","3","3"
"15","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1475.000","289.000","802.000","137.000","16.610","0.000","0.000","1471.000","802.000","710.000","168.000","18.710","0.000","0.000","1363.000","710.000","670.000","201.000","15.850","0.000","0.000","1151.000","670.000","713.000","233.000","14.490","0.000","0.000","798.000","713.000","159.000","236.000","1.630","0.000","0.000","","2024/3/26 10:04:03","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","735.500","810.000","-1790.000","-890.000","-1230.000","0.000","4214.000","3436.000","2844.000","2483.000","2453.000","744.000","731.000","735.500","676.000","687.000","583.500","567.500","395.000","403.000","1055.000","873.000","703.000","192.000","333.000","339.000","173.000","327.000","686.500","583.500","-0.182","-0.511","0.006","0.154","-0.103","249.000","259.000","249.000","238.000","250.000","259.000","250.000","240.000","84.000","75.000","75.000","-21.000","-21.000","120.000","D ","5036.000","-1","2","0","2","5","3"
"16","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1484.000","282.000","803.000","136.000","16.610","0.000","0.000","1466.000","803.000","710.000","167.000","18.710","0.000","0.000","1375.000","710.000","667.000","201.000","15.850","0.000","0.000","1170.000","667.000","710.000","233.000","14.490","0.000","0.000","801.000","710.000","159.000","236.000","1.630","0.000","0.000","","2024/3/26 10:04:03","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","732.000","810.000","-1710.000","-840.000","-1250.000","0.000","4197.000","3418.000","2840.000","2487.000","2450.000","749.500","734.500","734.000","682.500","692.500","592.500","577.500","397.500","403.500","1043.500","861.500","703.000","192.000","328.500","334.500","171.500","325.500","686.000","583.000","-0.182","-0.511","0.006","0.154","-0.103","249.000","259.000","249.000","238.000","250.000","260.000","250.000","240.000","84.000","75.000","75.000","-21.000","-21.000","120.000","D ","5037.000","0","3","3","3","3","1"
"17","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1478.000","280.000","794.000","136.000","16.610","0.000","0.000","1471.000","794.000","697.000","168.000","18.710","0.000","0.000","1393.000","697.000","671.000","200.000","15.850","0.000","0.000","1179.000","671.000","712.000","232.000","14.490","0.000","0.000","800.000","712.000","158.000","236.000","1.630","0.000","0.000","","2024/3/26 10:04:03","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","737.500","730.000","-1620.000","-840.000","-1290.000","0.000","4200.000","3400.000","2848.000","2481.000","2455.000","746.000","732.000","733.500","692.000","701.000","597.500","581.500","396.500","403.500","1047.500","865.500","702.500","191.500","329.000","334.000","169.500","323.500","686.500","583.500","-0.182","-0.511","0.005","0.154","-0.103","250.000","259.000","249.000","238.000","250.000","259.000","249.000","239.000","84.000","75.000","75.000","-21.000","-21.000","121.000","D ","5028.000","0","3","0","1","0","1"
"18","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1473.000","280.000","793.000","136.000","16.610","0.000","0.000","1468.000","793.000","698.000","168.000","18.710","0.000","0.000","1380.000","698.000","671.000","201.000","15.850","0.000","0.000","1172.000","671.000","714.000","233.000","14.490","0.000","0.000","801.000","714.000","161.000","236.000","1.630","0.000","0.000","","2024/3/26 10:04:04","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","731.000","560.000","-1800.000","-820.000","-1250.000","0.000","4207.000","3406.000","2840.000","2483.000","2450.000","742.500","730.500","737.000","683.500","696.500","594.500","577.500","396.500","404.500","1058.000","876.000","701.500","191.500","328.000","333.000","168.500","322.500","686.500","584.500","-0.182","-0.510","0.005","0.154","-0.102","249.000","260.000","249.000","238.000","249.000","260.000","250.000","240.000","84.000","75.000","75.000","-21.000","-21.000","122.000","D ","5064.000","0","3","1","2","1","2"
"19","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1468.000","286.000","786.000","136.000","16.610","0.000","0.000","1494.000","786.000","698.000","168.000","18.710","0.000","0.000","1372.000","698.000","666.000","201.000","15.850","0.000","0.000","1172.000","666.000","710.000","233.000","14.490","0.000","0.000","796.000","710.000","158.000","236.000","1.630","0.000","0.000","","2024/3/26 10:04:04","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","753.000","700.000","-1750.000","-880.000","-1220.000","0.000","4215.000","3412.000","2834.000","2477.000","2445.000","740.000","728.000","741.000","681.500","690.500","594.500","577.500","393.500","402.500","1064.000","881.000","701.000","189.000","331.500","336.500","168.000","322.000","686.000","584.000","-0.183","-0.512","0.005","0.154","-0.102","248.000","260.000","249.000","238.000","249.000","259.000","250.000","240.000","83.000","75.000","75.000","-21.000","-21.000","122.000","D ","5061.000","0","4","-1","5","3","3"
"20","5.010","1297","5","S420GD+ZAM        ","2024-03-26 09:45:24","243112892","52.010","50.000","100.00","100.00","50.00","1630","5964","1630","85.000","67.000","272.000","84.000","90.000","224.000","84.000","110.000","206.000","0.000","65.000","13.000","1260","2.500","1462.000","290.000","800.000","136.000","16.610","0.000","0.000","1475.000","800.000","704.000","168.000","18.710","0.000","0.000","1361.000","704.000","661.000","201.000","15.850","0.000","0.000","1167.000","661.000","703.000","233.000","14.490","0.000","0.000","795.000","703.000","163.000","236.000","1.630","0.000","0.000","","2024/3/26 10:04:04","243112892       ","1068","GMB008A         ","1265.000","2.450","1268.000","1260.000","2.600","2.400","733.000","700.000","-1850.000","-890.000","-1170.000","0.000","4213.000","3411.000","2840.000","2484.000","2450.000","736.000","726.000","742.000","675.000","686.000","588.500","578.500","393.000","402.000","1070.000","888.000","701.000","191.000","331.000","336.000","168.000","323.000","687.000","583.000","-0.182","-0.510","0.005","0.155","-0.104","248.000","259.000","248.000","238.000","249.000","260.000","249.000","239.000","84.000","75.000","75.000","-21.000","-21.000","122.000","D ","5053.000","0","3","-5","0","0","3"
